Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,month_no,Month,year
OD27,Customer_27,Food Grains,Pulses,Tiruppur,2015-05-27 05:57:39.501651,West,186,0.27,49.46,Tamil Nadu,5,May,2015
OD28,Customer_28,Beverages,Water,Krishnagiri,2018-07-30 00:11:48.976283,West,1933,0.17,220.5,Tamil Nadu,7,July,2018
OD29,Customer_29,Oil & Masala,Oils,Dharmapuri,2017-10-10 08:46:06.736715,South,2440,0.25,546.79,Tamil Nadu,10,October,2017
OD30,Customer_30,Fruits & Veggies,Fresh Vegetables,Salem,2018-01-01 18:57:14.644250,South,2239,0.19,796.73,Tamil Nadu,1,January,2018
OD31,Customer_31,Food Grains,Pulses,Trichy,2015-03-21 04:29:54.055839,East,307,0.27,56.17,Tamil Nadu,3,March,2015
OD32,Customer_32,Bakery,Pastries,Ooty,2017-12-07 01:49:05.061543,West,2333,0.21,328.94,Tamil Nadu,12,December,2017
OD33,Customer_33,Bakery,Pastries,Erode,2017-10-11 16:19:35.863104,East,1950,0.25,541.11,Tamil Nadu,10,October,2017
OD34,Customer_34,"Eggs, Meat & Fish",Eggs,Vellore,2017-02-05 14:22:00.684479,South,1787,0.12,514.56,Tamil Nadu,2,February,2017
OD35,Customer_35,"Eggs, Meat & Fish",Eggs,Kanyakumari,2016-05-10 10:23:14.175923,East,2303,0.22,775.05,Tamil Nadu,5,May,2016
OD36,Customer_36,Snacks,Noodles,Krishnagiri,2015-08-04 01:30:03.782647,West,2440,0.21,892.3,Tamil Nadu,8,August,2015
OD37,Customer_37,Beverages,Water,Erode,2015-02-12 19:23:28.225758,North,2680,0.22,920.67,Tamil Nadu,2,February,2015
OD38,Customer_38,Food Grains,Organic Staples,Ooty,2016-11-24 23:39:32.260582,North,2308,0.24,913.72,Tamil Nadu,11,November,2016
OD39,Customer_39,Food Grains,Pulses,Tiruppur,2016-11-09 15:28:52.452716,West,1608,0.28,286.25,Tamil Nadu,11,November,2016
OD40,Customer_40,Snacks,Namkeen,Kanyakumari,2016-12-03 04:01:13.491444,East,1626,0.26,486.85,Tamil Nadu,12,December,2016
OD41,Customer_41,Oil & Masala,Oils,Madurai,2017-08-26 05:16:26.730711,South,950,0.14,214.73,Tamil Nadu,8,August,2017
OD42,Customer_42,Oil & Masala,Masalas,Tirunelveli,2018-06-02 07:08:50.651456,South,2303,0.27,1005.81,Tamil Nadu,6,June,2018
OD43,Customer_43,Snacks,Biscuits,Chennai,2015-11-13 17:59:36.223356,North,2290,0.12,581.88,Tamil Nadu,11,November,2015
OD44,Customer_44,Oil & Masala,Masalas,Trichy,2018-04-10 16:49:25.595917,East,2709,0.22,1180.85,Tamil Nadu,4,April,2018
OD45,Customer_45,"Eggs, Meat & Fish",Chicken,Tiruppur,2016-08-01 06:32:49.138396,South,2182,0.28,805.54,Tamil Nadu,8,August,2016
OD46,Customer_46,Food Grains,Rice,Salem,2017-12-30 00:19:53.155208,South,323,0.12,113.52,Tamil Nadu,12,December,2017
OD47,Customer_47,Snacks,Biscuits,Kanyakumari,2015-04-17 05:11:32.764935,West,2815,0.27,765.81,Tamil Nadu,4,April,2015
OD48,Customer_48,Food Grains,Atta & Flour,Ooty,2017-05-23 02:34:19.921945,East,2540,0.26,648.16,Tamil Nadu,5,May,2017
OD49,Customer_49,Bakery,Breads,Salem,2017-02-24 07:11:34.926448,East,2555,0.2,726.37,Tamil Nadu,2,February,2017
OD50,Customer_50,"Eggs, Meat & Fish",Chicken,Dharmapuri,2017-12-24 04:04:23.704593,South,1511,0.16,306.39,Tamil Nadu,12,December,2017
OD51,Customer_51,Fruits & Veggies,Frozen Veggies,Krishnagiri,2018-10-16 04:09:00.378264,East,1819,0.18,757.76,Tamil Nadu,10,October,2018
OD52,Customer_52,"Eggs, Meat & Fish",Fish,Krishnagiri,2018-02-16 08:58:04.359051,East,396,0.29,149.69,Tamil Nadu,2,February,2018
OD53,Customer_53,Snacks,Noodles,Bodi,2016-03-30 12:34:48.021615,East,422,0.14,160.57,Tamil Nadu,3,March,2016
OD54,Customer_54,Fruits & Veggies,Frozen Veggies,Ooty,2015-12-29 08:00:25.938156,West,1977,0.22,497.42,Tamil Nadu,12,December,2015
OD55,Customer_55,Bakery,Breads,Bodi,2017-06-18 06:13:39.213449,South,1611,0.12,201.18,Tamil Nadu,6,June,2017
OD56,Customer_56,Snacks,Noodles,Trichy,2015-08-26 17:00:05.403782,North,2186,0.14,741.22,Tamil Nadu,8,August,2015
OD57,Customer_57,Beverages,Health Drinks,Madurai,2016-03-04 01:54:42.257580,East,604,0.25,139.55,Tamil Nadu,3,March,2016
OD58,Customer_58,Food Grains,Atta & Flour,Vellore,2016-07-15 07:47:53.731612,South,2900,0.16,1173.49,Tamil Nadu,7,July,2016
OD59,Customer_59,Bakery,Pastries,Vellore,2017-04-23 10:45:42.960072,North,1660,0.3,619.38,Tamil Nadu,4,April,2017
OD60,Customer_60,Food Grains,Pulses,Ooty,2015-03-04 02:14:35.412788,West,1465,0.2,221.02,Tamil Nadu,3,March,2015
OD61,Customer_61,Oil & Masala,Masalas,Krishnagiri,2015-07-07 17:47:38.601020,South,2387,0.2,741.4,Tamil Nadu,7,July,2015
OD62,Customer_62,Beverages,Juices,Tirunelveli,2015-04-16 08:09:13.347343,West,786,0.11,269.03,Tamil Nadu,4,April,2015
OD63,Customer_63,Beverages,Juices,Erode,2015-09-21 06:37:51.750225,South,2117,0.29,632.66,Tamil Nadu,9,September,2015
OD64,Customer_64,Bakery,Pastries,Tiruppur,2016-10-13 11:16:50.507355,West,1568,0.13,438.91,Tamil Nadu,10,October,2016
OD65,Customer_65,Beverages,Health Drinks,Perambalur,2016-03-17 23:01:29.702791,South,839,0.21,150.81,Tamil Nadu,3,March,2016
OD66,Customer_66,Fruits & Veggies,Fresh Fruits,Vellore,2018-03-26 22:40:18.733113,West,1096,0.18,200.09,Tamil Nadu,3,March,2018
OD67,Customer_67,Beverages,Juices,Trichy,2015-06-06 07:54:22.803962,North,2634,0.18,971.43,Tamil Nadu,6,June,2015
OD68,Customer_68,Food Grains,Rice,Krishnagiri,2015-07-24 06:01:24.299009,South,2912,0.23,310.25,Tamil Nadu,7,July,2015
OD69,Customer_69,Food Grains,Atta & Flour,Coimbatore,2016-10-12 14:14:31.089762,North,1534,0.23,571.6,Tamil Nadu,10,October,2016
OD70,Customer_70,Snacks,Noodles,Coimbatore,2016-05-09 02:49:45.049534,East,2015,0.13,573.02,Tamil Nadu,5,May,2016
OD71,Customer_71,Food Grains,Pulses,Bodi,2018-10-30 22:18:07.241068,North,722,0.2,308.78,Tamil Nadu,10,October,2018
OD72,Customer_72,Snacks,Noodles,Kanyakumari,2018-06-29 11:20:52.596817,South,2883,0.26,1294.65,Tamil Nadu,6,June,2018
OD73,Customer_73,Food Grains,Organic Staples,Salem,2015-10-22 05:59:57.838486,North,397,0.19,131.89,Tamil Nadu,10,October,2015
OD74,Customer_74,Fruits & Veggies,Frozen Veggies,Tirunelveli,2015-12-30 22:34:41.537075,South,1175,0.13,287.04,Tamil Nadu,12,December,2015
OD75,Customer_75,Snacks,Biscuits,Bodi,2018-12-05 13:52:36.889822,West,2880,0.16,766.89,Tamil Nadu,12,December,2018
OD76,Customer_76,"Eggs, Meat & Fish",Eggs,Erode,2017-12-05 14:45:12.698889,East,403,0.14,69.1,Tamil Nadu,12,December,2017
OD77,Customer_77,Oil & Masala,Oils,Coimbatore,2015-03-20 07:27:34.638246,North,1411,0.13,190.11,Tamil Nadu,3,March,2015
OD78,Customer_78,Bakery,Cakes,Trichy,2017-10-02 04:24:25.505854,East,763,0.18,230.86,Tamil Nadu,10,October,2017
OD79,Customer_79,Food Grains,Atta & Flour,Tirunelveli,2016-09-14 13:00:09.726808,North,1241,0.21,473.97,Tamil Nadu,9,September,2016
OD80,Customer_80,Beverages,Health Drinks,Perambalur,2016-03-31 23:38:40.384268,South,2092,0.11,400.87,Tamil Nadu,3,March,2016
OD81,Customer_81,Food Grains,Pulses,Kanyakumari,2015-05-23 07:17:12.122485,North,2938,0.22,725.33,Tamil Nadu,5,May,2015
OD82,Customer_82,Beverages,Water,Trichy,2015-11-25 21:01:44.833383,East,2794,0.3,821.91,Tamil Nadu,11,November,2015
OD83,Customer_83,Oil & Masala,Spices,Bodi,2018-05-21 14:37:51.750225,North,308,0.29,128.67,Tamil Nadu,5,May,2018
OD84,Customer_84,Oil & Masala,Spices,Tiruppur,2015-10-11 14:01:41.591113,East,1416,0.27,210.31,Tamil Nadu,10,October,2015
OD85,Customer_85,Oil & Masala,Masalas,Coimbatore,2018-04-28 02:05:30.711498,East,618,0.15,113.04,Tamil Nadu,4,April,2018
OD86,Customer_86,Beverages,Soft Drinks,Madurai,2016-07-31 23:32:02.665866,South,2224,0.1,937.38,Tamil Nadu,7,July,2016
OD87,Customer_87,Food Grains,Rice,Vellore,2015-09-12 08:44:14.338036,West,437,0.27,49.75,Tamil Nadu,9,September,2015
OD88,Customer_88,Oil & Masala,Masalas,Vellore,2016-03-06 17:01:40.510357,West,1913,0.11,630.6,Tamil Nadu,3,March,2016
OD89,Customer_89,Fruits & Veggies,Fresh Vegetables,Bodi,2017-04-05 14:58:28.135694,North,1969,0.14,637.63,Tamil Nadu,4,April,2017
OD90,Customer_90,Snacks,Namkeen,Trichy,2018-07-12 14:55:43.860702,East,1012,0.21,236.95,Tamil Nadu,7,July,2018
OD91,Customer_91,Beverages,Water,Madurai,2018-12-27 18:51:28.802161,South,906,0.14,239.06,Tamil Nadu,12,December,2018
OD92,Customer_92,Beverages,Water,Trichy,2015-04-29 22:15:14.320024,West,1415,0.27,564.9,Tamil Nadu,4,April,2015
OD93,Customer_93,Food Grains,Rice,Perambalur,2018-05-09 11:35:43.140198,South,1394,0.26,219.89,Tamil Nadu,5,May,2018
OD94,Customer_94,Beverages,Juices,Perambalur,2015-12-15 21:24:48.201741,South,671,0.25,121.48,Tamil Nadu,12,December,2015
OD95,Customer_95,Beverages,Soft Drinks,Tiruppur,2015-01-23 04:58:51.912338,East,2571,0.26,718.14,Tamil Nadu,1,January,2015
OD96,Customer_96,Oil & Masala,Masalas,Ooty,2017-08-21 02:32:53.461423,North,1779,0.14,433.03,Tamil Nadu,8,August,2017
OD97,Customer_97,Food Grains,Organic Staples,Tiruppur,2015-05-25 15:23:23.902731,East,2820,0.25,848.91,Tamil Nadu,5,May,2015
OD98,Customer_98,Oil & Masala,Oils,Madurai,2018-06-04 04:43:52.722906,West,1139,0.17,480.99,Tamil Nadu,6,June,2018
OD99,Customer_99,Snacks,Biscuits,Kanyakumari,2017-10-13 10:24:14.698288,West,1025,0.23,431.51,Tamil Nadu,10,October,2017
OD100,Customer_100,Snacks,Namkeen,Krishnagiri,2015-01-12 13:00:35.664965,South,1884,0.12,340.07,Tamil Nadu,1,January,2015
OD101,Customer_101,Oil & Masala,Spices,Perambalur,2017-04-05 07:57:41.663164,East,197,0.24,40.53,Tamil Nadu,4,April,2017
OD102,Customer_102,Snacks,Biscuits,Kanyakumari,2015-11-01 21:58:14.085860,East,1739,0.29,272.54,Tamil Nadu,11,November,2015
OD103,Customer_103,Food Grains,Pulses,Perambalur,2017-05-12 10:36:03.674572,South,2447,0.11,1039.31,Tamil Nadu,5,May,2017
OD104,Customer_104,Bakery,Cakes,Erode,2015-04-06 06:12:30.045031,North,846,0.12,202.41,Tamil Nadu,4,April,2015
OD105,Customer_105,Oil & Masala,Spices,Ooty,2017-05-13 00:37:36.619633,South,1545,0.12,397.68,Tamil Nadu,5,May,2017
OD106,Customer_106,Fruits & Veggies,Fresh Vegetables,Chennai,2017-10-01 03:51:42.851996,South,1430,0.19,544.72,Tamil Nadu,10,October,2017
OD107,Customer_107,Fruits & Veggies,Frozen Veggies,Salem,2016-01-31 08:27:57.334133,West,2421,0.16,676.77,Tamil Nadu,1,January,2016
OD108,Customer_108,Beverages,Soft Drinks,Perambalur,2018-12-11 10:08:06.340438,East,360,0.26,51.09,Tamil Nadu,12,December,2018
OD109,Customer_109,Snacks,Chips,Salem,2017-02-26 11:47:23.470429,West,1362,0.19,344.92,Tamil Nadu,2,February,2017
OD110,Customer_110,Fruits & Veggies,Fresh Fruits,Madurai,2016-07-18 02:25:15.220654,South,1035,0.2,331.91,Tamil Nadu,7,July,2016
OD111,Customer_111,Beverages,Water,Trichy,2017-10-26 13:59:05.962173,East,1897,0.24,667.22,Tamil Nadu,10,October,2017
OD112,Customer_112,Bakery,Pastries,Trichy,2015-09-20 20:06:42.041429,South,431,0.17,140.45,Tamil Nadu,9,September,2015
OD113,Customer_113,Food Grains,Pulses,Kanyakumari,2017-08-28 09:52:15.274692,South,214,0.17,30.33,Tamil Nadu,8,August,2017
OD114,Customer_114,Food Grains,Atta & Flour,Madurai,2015-02-28 00:03:44.797358,North,367,0.25,75.79,Tamil Nadu,2,February,2015
OD115,Customer_115,Food Grains,Organic Staples,Ooty,2017-05-24 06:37:25.812068,West,2159,0.26,770.22,Tamil Nadu,5,May,2017
OD116,Customer_116,Fruits & Veggies,Fresh Fruits,Ooty,2017-06-30 19:46:57.532272,West,172,0.1,70.19,Tamil Nadu,6,June,2017
OD117,Customer_117,Bakery,Cookies,Madurai,2018-01-25 21:31:08.628039,South,1115,0.13,129.91,Tamil Nadu,1,January,2018
OD118,Customer_118,Fruits & Veggies,Frozen Veggies,Erode,2016-10-20 18:36:12.320624,North,2553,0.14,293.03,Tamil Nadu,10,October,2016
OD119,Customer_119,Snacks,Chips,Erode,2016-05-13 01:30:12.428700,South,277,0.17,90.08,Tamil Nadu,5,May,2016
OD120,Customer_120,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2015-02-12 22:53:51.462023,South,2099,0.16,612.52,Tamil Nadu,2,February,2015
OD121,Customer_121,Bakery,Cakes,Kanyakumari,2018-06-22 04:01:30.783548,South,871,0.23,134.46,Tamil Nadu,6,June,2018
OD122,Customer_122,Bakery,Cakes,Vellore,2017-10-23 19:21:44.473131,North,1045,0.27,305.04,Tamil Nadu,10,October,2017
OD123,Customer_123,Snacks,Noodles,Madurai,2015-05-20 05:39:04.160912,East,499,0.14,220.09,Tamil Nadu,5,May,2015
OD124,Customer_124,Bakery,Cakes,Tiruppur,2015-03-21 22:01:50.237166,North,369,0.21,118.38,Tamil Nadu,3,March,2015
OD125,Customer_125,Bakery,Cookies,Chennai,2017-11-15 14:22:09.330531,South,1955,0.17,502.82,Tamil Nadu,11,November,2017
OD126,Customer_126,Food Grains,Atta & Flour,Ooty,2018-11-10 07:15:37.015911,East,1755,0.2,683.81,Tamil Nadu,11,November,2018
OD127,Customer_127,Snacks,Chips,Vellore,2015-07-06 17:14:55.947163,South,2633,0.22,459.43,Tamil Nadu,7,July,2015
OD128,Customer_128,"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-02-19 04:47:54.812368,North,158,0.28,38.71,Tamil Nadu,2,February,2016
OD129,Customer_129,"Eggs, Meat & Fish",Fish,Bodi,2017-02-16 23:52:13.113179,North,2789,0.14,794.08,Tamil Nadu,2,February,2017
OD130,Customer_130,Bakery,Breads,Bodi,2016-05-04 21:08:31.197838,East,986,0.12,272.72,Tamil Nadu,5,May,2016
OD131,Customer_131,"Eggs, Meat & Fish",Eggs,Tiruppur,2015-04-07 20:46:45.643950,North,365,0.23,154.15,Tamil Nadu,4,April,2015
OD132,Customer_132,"Eggs, Meat & Fish",Eggs,Erode,2016-11-13 21:10:06.304413,South,2222,0.18,449.81,Tamil Nadu,11,November,2016
OD133,Customer_133,Bakery,Pastries,Ooty,2016-04-24 12:11:01.422996,East,2122,0.13,254.17,Tamil Nadu,4,April,2016
OD134,Customer_134,"Eggs, Meat & Fish",Chicken,Vellore,2017-07-20 06:08:27.955568,West,604,0.12,254.12,Tamil Nadu,7,July,2017
OD135,Customer_135,Fruits & Veggies,Fresh Fruits,Chennai,2016-10-29 09:29:03.260282,South,2504,0.21,440.64,Tamil Nadu,10,October,2016
OD136,Customer_136,Beverages,Health Drinks,Madurai,2018-02-06 14:02:07.529270,West,2301,0.16,535.35,Tamil Nadu,2,February,2018
OD137,Customer_137,Snacks,Namkeen,Chennai,2017-10-22 18:49:01.819273,East,2023,0.3,578.2,Tamil Nadu,10,October,2017
OD138,Customer_138,Beverages,Health Drinks,Tirunelveli,2015-03-11 06:03:33.989792,East,585,0.18,258.31,Tamil Nadu,3,March,2015
OD139,Customer_139,Bakery,Breads,Ooty,2016-12-15 00:02:35.628940,South,1663,0.14,477.85,Tamil Nadu,12,December,2016
OD140,Customer_140,Food Grains,Atta & Flour,Erode,2015-03-14 04:11:18.715100,North,1253,0.23,321.66,Tamil Nadu,3,March,2015
OD141,Customer_141,Snacks,Namkeen,Perambalur,2016-04-09 04:00:21.615130,South,165,0.15,50.21,Tamil Nadu,4,April,2016
OD142,Customer_142,Bakery,Cakes,Tirunelveli,2015-07-06 03:13:23.002101,North,2527,0.2,1111.33,Tamil Nadu,7,July,2015
OD143,Customer_143,Food Grains,Atta & Flour,Vellore,2016-02-14 09:05:08.015610,North,1436,0.2,554.7,Tamil Nadu,2,February,2016
OD144,Customer_144,Beverages,Soft Drinks,Perambalur,2016-12-18 08:41:30.063044,South,506,0.19,80.52,Tamil Nadu,12,December,2016
OD145,Customer_145,Bakery,Cakes,Salem,2015-09-11 04:41:08.447913,East,376,0.26,143.31,Tamil Nadu,9,September,2015
OD146,Customer_146,Snacks,Noodles,Madurai,2017-10-25 23:57:33.017111,South,2762,0.14,1089.29,Tamil Nadu,10,October,2017
OD147,Customer_147,Snacks,Namkeen,Bodi,2016-03-21 04:10:00.900630,West,2461,0.28,841.03,Tamil Nadu,3,March,2016
OD148,Customer_148,Oil & Masala,Masalas,Erode,2017-09-17 17:16:05.115580,East,2696,0.26,889.77,Tamil Nadu,9,September,2017
OD149,Customer_149,Fruits & Veggies,Frozen Veggies,Tiruppur,2015-11-06 10:40:14.410087,North,1372,0.17,348.91,Tamil Nadu,11,November,2015
OD150,Customer_150,"Eggs, Meat & Fish",Eggs,Dharmapuri,2018-03-09 06:23:27.145001,East,2068,0.14,671.26,Tamil Nadu,3,March,2018
OD151,Customer_151,Food Grains,Pulses,Bodi,2016-07-21 00:32:59.945962,South,560,0.16,200.56,Tamil Nadu,7,July,2016
OD152,Customer_152,Oil & Masala,Oils,Salem,2017-05-10 09:30:38.366856,East,2546,0.17,364.05,Tamil Nadu,5,May,2017
OD153,Customer_153,"Eggs, Meat & Fish",Fish,Madurai,2015-06-09 06:02:07.529270,North,2598,0.21,493.79,Tamil Nadu,6,June,2015
OD154,Customer_154,"Eggs, Meat & Fish",Eggs,Trichy,2015-10-07 01:19:41.266886,North,2618,0.11,439.64,Tamil Nadu,10,October,2015
OD155,Customer_155,Bakery,Breads,Erode,2017-02-13 04:42:08.970279,East,1767,0.28,696.95,Tamil Nadu,2,February,2017
OD156,Customer_156,"Eggs, Meat & Fish",Chicken,Ooty,2015-10-06 04:17:21.849294,West,1682,0.12,568.52,Tamil Nadu,10,October,2015
OD157,Customer_157,Fruits & Veggies,Frozen Veggies,Kanyakumari,2015-11-15 15:34:38.294806,North,1055,0.16,271.95,Tamil Nadu,11,November,2015
OD158,Customer_158,Snacks,Noodles,Erode,2018-02-01 00:47:24.551185,West,806,0.12,313.63,Tamil Nadu,2,February,2018
OD159,Customer_159,Oil & Masala,Spices,Bodi,2017-01-17 00:30:07.024917,North,202,0.15,70.88,Tamil Nadu,1,January,2017
OD160,Customer_160,"Eggs, Meat & Fish",Fish,Tiruppur,2018-12-14 08:15:51.065746,East,2475,0.27,1038.9,Tamil Nadu,12,December,2018
OD161,Customer_161,Bakery,Cookies,Trichy,2015-01-29 11:45:31.071750,North,2748,0.22,348.67,Tamil Nadu,1,January,2015
OD162,Customer_162,Fruits & Veggies,Frozen Veggies,Coimbatore,2016-09-13 19:28:13.545481,West,2393,0.15,665.74,Tamil Nadu,9,September,2016
OD163,Customer_163,Beverages,Juices,Salem,2016-10-10 09:38:42.545782,West,2252,0.27,782.26,Tamil Nadu,10,October,2016
OD164,Customer_164,Snacks,Namkeen,Bodi,2017-07-30 18:36:20.966676,East,2839,0.26,490.08,Tamil Nadu,7,July,2017
OD165,Customer_165,Snacks,Namkeen,Bodi,2017-04-08 02:35:03.152206,West,1071,0.25,229.72,Tamil Nadu,4,April,2017
OD166,Customer_166,Oil & Masala,Oils,Bodi,2018-06-23 18:35:46.382467,West,1425,0.27,351.46,Tamil Nadu,6,June,2018
OD167,Customer_167,Snacks,Chips,Madurai,2017-10-20 00:11:40.330231,East,252,0.22,95.26,Tamil Nadu,10,October,2017
OD168,Customer_168,"Eggs, Meat & Fish",Fish,Trichy,2017-08-06 18:54:56.307415,North,1056,0.2,288.03,Tamil Nadu,8,August,2017
OD169,Customer_169,Bakery,Cakes,Trichy,2015-08-18 16:08:47.409186,East,1229,0.17,334.91,Tamil Nadu,8,August,2015
OD170,Customer_170,Snacks,Namkeen,Bodi,2016-04-03 14:45:38.637045,North,829,0.14,207.92,Tamil Nadu,4,April,2016
OD171,Customer_171,Snacks,Biscuits,Perambalur,2016-06-07 18:38:22.011407,North,173,0.21,31.14,Tamil Nadu,6,June,2016
OD172,Customer_172,Beverages,Water,Tiruppur,2015-01-09 11:22:27.703392,North,955,0.28,404.04,Tamil Nadu,1,January,2015
OD173,Customer_173,Beverages,Juices,Salem,2017-10-03 04:57:08.159711,South,2432,0.22,513.71,Tamil Nadu,10,October,2017
OD174,Customer_174,Food Grains,Pulses,Perambalur,2016-04-08 17:29:11.906334,North,1673,0.28,499.58,Tamil Nadu,4,April,2016
OD175,Customer_175,Fruits & Veggies,Fresh Vegetables,Bodi,2016-06-23 06:19:25.055538,East,379,0.17,57.64,Tamil Nadu,6,June,2016
OD176,Customer_176,"Eggs, Meat & Fish",Eggs,Erode,2015-04-24 09:00:31.341939,East,886,0.24,223.26,Tamil Nadu,4,April,2015
OD177,Customer_177,Snacks,Namkeen,Krishnagiri,2016-10-18 03:29:14.067847,East,785,0.23,326.82,Tamil Nadu,10,October,2016
OD178,Customer_178,Snacks,Chips,Erode,2015-10-15 02:10:59.261483,South,1679,0.23,752.89,Tamil Nadu,10,October,2015
OD179,Customer_179,Bakery,Pastries,Krishnagiri,2016-03-18 20:03:49.120384,West,1068,0.23,242.02,Tamil Nadu,3,March,2016
OD180,Customer_180,Food Grains,Organic Staples,Perambalur,2016-01-03 17:44:45.679975,South,2438,0.14,375.2,Tamil Nadu,1,January,2016
OD181,Customer_181,Fruits & Veggies,Fresh Fruits,Erode,2016-08-16 14:43:28.946262,East,2133,0.13,448.05,Tamil Nadu,8,August,2016
OD182,Customer_182,Food Grains,Atta & Flour,Dharmapuri,2016-02-08 19:50:25.037526,East,1265,0.3,271.39,Tamil Nadu,2,February,2016
OD183,Customer_183,Oil & Masala,Masalas,Kanyakumari,2016-05-02 16:32:42.653857,West,867,0.11,282.28,Tamil Nadu,5,May,2016
OD184,Customer_184,Fruits & Veggies,Fresh Fruits,Trichy,2015-01-05 16:12:23.560492,South,2459,0.19,672.92,Tamil Nadu,1,January,2015
OD185,Customer_185,Snacks,Noodles,Tirunelveli,2015-07-09 11:52:17.436205,East,745,0.19,274.88,Tamil Nadu,7,July,2015
OD186,Customer_186,Snacks,Chips,Coimbatore,2016-07-17 12:23:42.275592,North,125,0.17,43.18,Tamil Nadu,7,July,2016
OD187,Customer_187,Fruits & Veggies,Fresh Fruits,Coimbatore,2017-09-22 19:59:38.384869,North,2034,0.26,382.31,Tamil Nadu,9,September,2017
OD188,Customer_188,Snacks,Chips,Bodi,2015-10-08 15:53:56.865806,East,2402,0.25,899.52,Tamil Nadu,10,October,2015
